,scores
0,-476.49401110702433
1,-890.9754272340793
2,-1112.8235466283445
3,-907.9465045046384
4,-1088.9276505195737
5,-845.4969265814618
6,-328.0019132524668
7,-1047.165042026116
8,-733.7483447700865
9,-978.5807576846247
10,-901.3151701777775
11,-828.0764578982967
12,-640.9332084181268
13,-638.1112939193699
14,-794.3623094535681
15,-743.6656679715603
16,-738.1458354751495
17,-621.7785138454897
18,-672.6746625736506
19,-860.899842900751
20,-837.8808458598828
21,-908.0232636830419
22,-646.7077568803815
23,-736.7973961351611
24,-803.4764649434392
25,-783.8433784134587
26,-726.6821553436192
27,-647.2872481725623
28,-828.6978174539107
29,-550.3220742230749
30,-850.7106191673531
31,-698.7345390826889
32,-807.7932044263348
33,-858.3533453813837
34,-882.3758057546478
35,-342.85955482120585
36,-728.8871081206146
37,-679.8908373816981
38,-685.0246251685367
39,-885.2446913397004
40,-877.2009604779034
41,-787.5916566426731
42,-673.885567672499
43,-675.5148571834554
44,-907.7302818176138
45,-797.9141652879526
46,-720.8299007785024
47,-371.9574160854132
48,-876.8675309784558
49,-693.7899328518658
50,-252.58025029366502
51,-959.7573976074202
52,-982.7053807249273
53,-646.1474559396102
54,-817.497074923663
55,-740.9268360534545
56,-898.6365351371763
57,-771.5186626594633
58,-763.4906989451728
59,-819.1929247292481
60,-773.9696370706612
61,-251.83392294029093
62,-826.386267891193
63,-794.1708993814273
64,-817.3253657199358
65,-802.8257748358063
66,-923.6034950271562
67,-926.6683698663059
68,-764.0778079732908
69,-798.192956106864
70,-846.2852249557371
71,-885.6801531383804
72,-896.3708921133351
73,-806.6197419712378
74,-667.0574909751032
75,-714.7487703742149
76,-844.8494107198215
77,-910.0957349879498
78,-970.4770951996844
79,-853.3185161723991
80,-732.1882813088254
81,-837.7642851831064
82,-819.8799339459204
83,-853.1616737892898
84,-694.060040192278
85,-913.1897657516354
86,-788.9206595919528
87,-796.7358537982853
88,-1024.213828739405
89,-630.412614729884
90,-759.4063095495247
91,-783.5517076728808
92,-734.893449500832
93,-834.4073951769205
94,-624.3817095933209
95,-960.7652245987238
96,-773.6450585014682
97,-649.9154945363692
98,-830.6602817073973
99,-875.1780483248224
100,-671.5770447569836
101,-341.407427674334
102,-863.7992822544402
103,-889.4825365221934
104,-772.4972227108424
105,-660.6725518732285
106,-806.6870406605906
107,-837.4870727029652
108,-859.0443378123997
109,-952.6831847904231
110,-1035.556199502777
111,-798.6289765079835
112,-779.501642712275
113,-699.0160725937936
114,-761.9194415375819
115,-872.8035396087153
116,-744.6163027733828
117,-621.7046489596364
118,-711.9581312132509
119,-639.3849226154177
120,-774.7346791750955
121,-268.2266572866728
122,-871.5228864641357
123,-425.80945386331507
124,-685.5953171587666
125,-821.2436113172527
126,-804.3082603726752
127,-447.87814256446103
128,-800.5116879353803
129,-714.080460896307
130,-931.4740532792617
131,-666.5177310504126
132,-857.5473363886069
133,-987.3307271812363
134,-818.5699106040948
135,-748.6084980763575
136,-730.1238007186246
137,-735.1796369189104
138,-754.5797340841517
139,-765.7405488790331
140,-879.8636604954961
141,-689.1595566963363
142,-423.0244610231642
143,-924.0020823159344
144,-749.200120695528
145,-749.8841289725409
146,-367.11877331295665
147,-933.8309772512839
148,-915.6832931879118
149,-755.2733529002343
150,-554.5192776952316
151,-323.32530590995714
152,-914.240791640709
153,-675.4717810796196
154,-712.2988552424772
155,-868.8305515432572
156,-812.6892752330044
157,-908.7763920968074
158,-832.7100620650228
159,-631.9494592617274
160,-931.0076727895959
161,-813.9334375147131
162,-762.7579819078295
163,-716.9993279899436
164,-758.9084002443835
165,-711.5235273779879
166,-773.0386955420544
167,-743.0552129117276
168,-756.0993821922805
169,-711.709173506492
170,-841.6288380809418
171,-775.6772712797296
172,-708.7228296954642
173,-737.2487796848966
174,-712.6392982733557
175,-753.7227124087138
176,-293.40861711343416
177,-742.6772709884558
178,-825.0009775272368
179,-734.9345441499331
180,-893.0425700010151
181,-794.6342763871819
182,-735.0845563388972
183,-808.4381239464601
184,-689.867661434462
185,-858.237890645784
186,-813.1380619180089
187,-942.7420937922861
188,-659.1994263440868
189,-690.7784214737604
190,-804.5512649107862
191,-896.4510917421659
192,-649.1372286652588
193,-811.0024506688371
194,-1015.3751727941503
195,-839.0198100309362
196,-757.0449953283888
197,-722.1883194370101
198,-853.2899441446243
199,-693.5695179168341
200,-796.9315027226837
201,-818.6132987610873
202,-769.9597393794174
203,-731.5322112250717
204,-737.2455755046387
205,-691.4212868123977
206,-933.5171082312397
207,-836.995028249698
208,-838.8698993912856
209,-431.8789035637602
210,-809.1282529997627
211,-828.8776845361919
212,-758.7818110894809
213,-787.7921494946464
214,-653.4750774109509
215,-855.6266819338128
216,-785.8925169586336
217,-823.7187023460332
218,-697.7098507565013
219,-967.0058877659246
220,-922.9430124327108
221,-940.4212120701424
222,-982.550430053667
223,-240.2799796307729
224,-772.8942806328668
225,-864.2491417131291
226,-926.6980113304671
227,-693.6545134416251
228,-850.4869736235942
229,-944.9110611614414
230,-301.22714825720936
231,-862.6581141346853
232,-861.0264883417229
233,-793.6918000590583
234,-622.8586225343955
235,-829.0695228781144
236,-708.3450005692576
237,-771.0848718465791
238,-685.4964006532032
239,-865.4056031937258
240,-865.1650332999753
241,-835.8658628242626
242,-775.6903948032923
243,-906.6242617862843
244,-822.5807490875227
245,-915.5892776005581
246,-747.5403739492579
247,-890.9832268869851
248,-774.712650718597
249,-830.7559853243998
250,-888.2112541800805
251,-719.4854407444614
252,-304.88021576963774
253,-747.3165841175694
254,-751.1795647944597
255,-325.78941766062553
256,-883.5937170365328
257,-773.9449677505058
258,-1024.9010159008649
259,-786.5913543179423
260,-746.6094991901956
261,-751.086120300403
262,-800.7693851306894
263,-844.6401743695038
264,-847.7452337917497
265,-336.1360274385956
266,-349.1629244744439
267,-739.7748085566842
268,-802.1117671001074
269,-688.8267679397466
270,-858.5291185790658
271,-675.3048991225538
272,-788.8516868023753
273,-802.8393293895102
274,-437.17727847392456
275,-242.47744479472377
276,-406.40579161537823
277,-571.3206576885927
278,-641.0235241617002
279,-939.9795038212961
280,-779.0770926399923
281,-733.5249339207093
282,-871.0493393956077
283,-672.0615229936473
284,-1020.5537468219419
285,-680.9236177632683
286,-888.7219549496683
287,-684.0631895511183
288,-703.3203667895848
289,-763.0913059479888
290,-790.4895589855128
291,-690.3443358338513
292,-795.5986717313984
293,-368.2727362475956
294,-901.5494966624789
295,-889.1383691988465
296,-791.7475520934331
297,-733.3923258479394
