,scores
0,-43.793700000000094
1,-41.71980000000012
2,-46.9475000000002
3,77.47240000000002
4,79.99970000000002
5,53.97649999999979
6,71.40720000000002
7,82.38990000000004
8,74.29940000000002
9,-89.1205000000001
10,-54.93440000000047
11,83.84830000000004
12,71.90030000000002
13,76.60880000000002
14,-45.87350000000016
15,-88.56000000000022
16,66.1362
17,-29.80659999999998
18,53.832299999999606
19,78.70160000000001
20,-81.3519999999999
21,88.64030000000002
22,73.59900000000002
23,50.883399999999675
24,64.3650999999999
25,-72.32090000000011
26,80.44670000000004
27,-70.5741000000005
28,-38.40860000000005
29,-55.05360000000036
30,-12.010699999999991
31,74.00120000000001
32,-45.466700000000195
33,-13.789599999999977
34,-82.38580000000027
35,-52.61600000000048
36,55.653199999999714
37,-54.897500000000434
38,69.83860000000001
39,-54.940500000000526
40,77.34810000000002
41,-42.070300000000145
42,71.96020000000001
43,-43.35450000000009
44,83.11120000000005
45,-56.0425000000006
46,78.5019
47,43.89459999999953
48,54.21179999999962
49,-39.755700000000076
50,56.82929999999974
51,55.6039999999996
52,45.75769999999941
53,43.30139999999941
54,77.29110000000004
55,-48.70830000000038
56,56.46199999999972
57,-59.34170000000057
58,75.54050000000002
59,84.21360000000003
60,69.03050000000002
61,-53.07810000000028
62,72.76850000000003
63,78.96900000000004
64,52.20829999999957
65,-131.96050000000017
66,88.97670000000002
67,-43.903900000000014
68,-47.33490000000012
69,-87.08699999999985
70,-54.29900000000032
71,-62.32120000000052
72,58.467599999999734
73,69.41940000000001
74,74.16720000000004
75,71.70620000000002
76,-77.47630000000045
77,-53.65240000000035
78,-55.45990000000053
79,85.82040000000003
80,53.04429999999965
81,75.93420000000003
82,-40.38260000000008
83,65.7868
84,79.72710000000005
85,83.08320000000003
86,72.87070000000003
87,83.62330000000004
88,68.5601
89,-41.21690000000011
90,71.63830000000003
91,79.70880000000004
92,79.69810000000004
93,75.14760000000003
94,-61.89510000000032
95,44.8217999999995
96,-81.30850000000021
97,63.75849999999989
98,61.34939999999985
99,-57.8414000000004
100,73.2797
101,50.33979999999981
102,47.378599999999466
103,-63.07990000000068
104,69.01920000000001
105,60.664699999999826
106,53.46739999999983
107,54.4611999999997
108,-59.559500000000526
109,-75.74300000000034
110,-50.02860000000025
111,68.92150000000004
112,80.87170000000005
113,23.25350000000006
114,83.06250000000004
115,46.85539999999958
116,-50.44690000000026
117,-61.82160000000043
118,32.20069999999971
119,71.2596
120,-55.900700000000505
121,73.90110000000001
122,-46.03940000000018
123,75.59910000000004
124,-57.83650000000045
125,67.73630000000004
126,45.468599999999384
127,-42.85030000000012
128,84.50780000000005
129,-73.72590000000042
130,-56.595000000000425
131,51.581899999999585
132,76.16280000000003
133,-61.53050000000047
134,-52.120400000000345
135,-55.26220000000055
136,-53.38020000000047
137,-54.389600000000414
138,-74.51720000000037
139,48.240899999999534
140,52.59339999999973
141,41.14049999999957
142,-53.898100000000426
143,58.44159999999975
144,-86.45810000000006
145,59.05159999999975
146,-41.554900000000096
147,84.96000000000004
148,66.84450000000002
149,-70.22730000000044
150,-48.377600000000214
151,-61.57760000000053
152,61.40539999999984
153,-73.9457000000004
154,49.47999999999957
155,82.77040000000005
156,72.65090000000001
157,77.04190000000004
158,56.38939999999965
159,72.88160000000005
160,66.40680000000003
161,57.719199999999766
162,-79.02530000000012
163,-42.88260000000015
164,-39.92570000000002
165,-71.46120000000039
166,44.171199999999466
167,50.53849999999955
168,66.9384
169,48.62839999999956
170,-64.46710000000067
171,-71.46170000000045
172,57.3804999999998
173,-66.25450000000056
174,87.13420000000004
175,63.33409999999985
176,-45.121600000000115
177,68.05890000000001
178,-48.416100000000306
179,-91.61920000000039
180,50.294299999999566
181,-45.34360000000012
182,88.31230000000004
183,-57.02250000000042
184,68.95870000000001
185,61.608099999999844
186,45.91609999999977
187,10.88930000000002
188,-120.19099999999985
189,76.72870000000003
190,-62.78130000000052
191,90.2711
192,85.56290000000004
193,55.22759999999962
194,45.78999999999953
195,-75.64430000000033
196,72.73000000000002
197,66.8905
198,-87.31070000000005
199,-60.81970000000035
200,74.58
201,67.8357
202,67.65690000000002
203,74.58640000000004
204,-53.273900000000395
205,-63.55720000000058
206,88.62200000000003
207,59.23379999999977
208,31.985699999999483
209,-86.89470000000031
210,-42.51740000000013
211,-78.68640000000028
212,71.30940000000001
213,-48.26060000000035
214,41.62159999999954
215,62.89909999999991
216,-102.07249999999996
217,-44.32800000000022
218,73.44990000000001
219,47.859999999999495
220,-38.01860000000018
221,44.758199999999384
222,70.59750000000003
223,-73.92190000000035
224,-47.065200000000175
225,83.46060000000006
226,60.21489999999981
227,-52.01670000000043
228,-75.91140000000038
229,70.9497
230,74.97030000000004
231,-92.11490000000046
232,-70.74420000000055
233,62.57899999999988
234,-84.55690000000008
235,70.29930000000002
236,72.36870000000002
237,43.42649999999982
238,46.904899999999586
239,60.70539999999983
240,-51.035100000000284
241,-47.76700000000022
242,-54.90780000000036
243,75.30130000000001
244,88.98250000000002
245,-60.284900000000455
246,-99.48820000000002
247,51.03039999999958
248,-103.06549999999972
249,85.97180000000003
250,-61.1753000000006
251,-99.47020000000028
252,82.26630000000003
253,-68.80530000000047
254,66.17970000000003
255,-71.48090000000055
256,84.53830000000004
257,-66.1773000000006
258,-55.85860000000042
259,-74.45360000000049
260,57.27209999999966
261,82.77020000000005
262,-74.81900000000003
263,-57.52060000000036
264,-61.425600000000465
265,75.65170000000002
266,76.77550000000005
267,-50.97810000000021
268,74.48120000000002
269,-69.95610000000066
270,-43.17180000000011
271,-81.69940000000011
272,85.06290000000004
273,-43.2065000000001
274,75.07900000000004
275,-51.95930000000035
276,-76.8212000000001
277,66.58709999999999
278,76.06160000000003
279,19.55519999999997
280,-78.13850000000033
281,52.80969999999963
282,-96.27670000000035
283,71.23010000000001
284,-40.24830000000001
285,54.598999999999755
286,-80.60970000000019
287,85.81310000000002
288,-62.549500000000656
289,-68.51060000000061
290,61.6913999999999
291,-124.1459000000002
292,-49.66540000000037
293,63.44489999999997
294,-76.08350000000038
295,72.63000000000002
296,39.0265999999996
297,78.21630000000006
298,67.06190000000001
299,87.97960000000002
300,-43.342000000000205
301,-106.36740000000033
302,-60.024400000000455
303,-52.44820000000027
304,71.67070000000004
305,73.26010000000001
306,-54.51370000000035
307,-84.84600000000036
308,73.45850000000002
309,73.86920000000002
310,-48.90830000000039
311,42.254099999999575
312,70.94640000000001
313,-38.62830000000002
314,-51.10600000000033
315,48.42849999999945
316,77.47230000000003
317,-44.419300000000156
318,-71.2764000000005
319,-42.88820000000014
320,67.61590000000001
321,-48.109200000000186
322,84.61870000000003
323,59.14999999999977
324,82.80080000000004
325,87.58100000000003
326,-102.26550000000039
327,88.73200000000003
328,-43.99250000000014
329,73.1119
330,51.19039999999957
331,-62.437500000000696
332,-60.185800000000675
333,-95.33939999999994
334,63.14289999999987
335,-83.58590000000032
336,72.82810000000003
337,-49.63370000000021
338,68.77160000000003
339,48.2502999999995
340,64.70019999999991
341,-60.64130000000057
342,69.58020000000003
343,72.0181
344,83.76190000000004
345,46.82209999999951
346,70.32460000000003
347,72.21980000000002
348,-58.76290000000056
349,57.81219999999972
350,77.90150000000003
351,59.72899999999987
352,84.94160000000004
353,86.31840000000003
354,-64.31290000000045
355,71.51860000000003
356,79.55050000000003
357,73.81770000000002
358,72.68020000000001
359,-44.543100000000166
360,71.62350000000005
361,69.52000000000001
362,75.90960000000001
363,67.8422
364,54.920199999999625
365,42.06949999999935
366,-68.41070000000059
367,-60.64060000000048
368,-39.218599999999995
369,85.57920000000004
370,46.56119999999951
371,77.26060000000001
372,68.12950000000001
373,67.17020000000001
374,85.86580000000005
375,48.04269999999965
376,-41.46450000000014
377,42.15789999999938
378,-41.658300000000054
379,76.51980000000002
380,-55.04330000000042
381,87.80980000000002
382,75.49040000000001
383,68.85390000000001
384,50.056599999999534
385,-74.7737000000004
386,80.25940000000003
387,74.9996
388,-84.27610000000008
389,64.52629999999994
390,-45.37650000000011
391,74.3612
392,70.35810000000002
393,63.38459999999997
394,73.47390000000004
395,49.959099999999474
396,54.09999999999989
397,49.03129999999963
398,67.08700000000002
399,85.88010000000003
400,66.49720000000003
401,75.09970000000001
402,-77.33770000000038
403,-42.9370000000001
404,-49.36320000000015
405,85.61850000000004
406,-62.897100000000634
407,74.85290000000003
408,53.77099999999966
409,75.26490000000003
410,-41.16090000000008
411,45.721699999999764
412,61.27939999999985
413,67.46900000000005
414,60.36299999999984
415,71.32010000000002
416,-75.67630000000028
417,84.33120000000004
418,-58.33090000000048
419,-61.34170000000046
420,70.8986
421,65.34889999999997
422,-40.271100000000075
423,-52.70230000000029
424,72.35920000000002
425,-57.14390000000049
426,78.44920000000002
427,72.14080000000004
428,57.13669999999977
429,-56.16690000000041
430,-78.49140000000027
431,75.22020000000003
432,63.631899999999845
433,-38.57810000000006
434,-81.06300000000037
435,57.57819999999985
436,-61.182700000000665
437,74.83840000000002
438,-84.23330000000009
439,59.76279999999973
440,58.09009999999977
441,-73.62870000000045
442,77.62020000000001
443,-70.82690000000059
444,76.30100000000002
445,54.074399999999734
446,52.05989999999969
447,59.816799999999816
448,50.394499999999525
449,78.52070000000003
450,69.00140000000006
451,66.54890000000005
452,60.6778999999998
453,71.23810000000002
454,70.30260000000004
455,-46.44830000000019
456,68.75930000000001
457,62.963399999999865
458,76.64030000000002
459,73.30890000000002
460,-100.46570000000024
461,63.02869999999987
462,84.17960000000004
463,-65.30510000000054
464,-43.930600000000126
465,-71.02000000000052
466,-33.036300000000004
467,-57.23740000000047
468,59.894099999999796
469,-72.38710000000054
470,-42.38360000000011
471,-53.09720000000037
472,-67.55260000000042
473,51.327899999999595
474,-45.538500000000155
475,62.801099999999884
476,63.1576999999999
477,55.398499999999686
478,-55.12990000000007
479,75.16340000000005
480,49.65549999999967
481,-58.92550000000059
482,64.96849999999995
483,61.52569999999994
484,-32.780499999999975
485,33.23109999999954
486,57.46869999999983
487,67.24130000000002
488,75.84120000000003
489,78.96170000000004
490,-85.4399000000001
491,-79.82240000000021
492,-54.424200000000326
493,65.51459999999993
494,75.21910000000003
495,-59.5695000000004
496,-57.36380000000044
497,65.10999999999996
498,-58.371700000000374
499,48.99149999999954
500,-67.38790000000064
501,74.88310000000001
502,-85.65930000000016
503,-79.29580000000026
504,-48.612800000000234
505,83.06060000000004
506,-96.37710000000001
507,-61.911800000000326
508,77.62020000000001
509,-50.88510000000004
510,72.3691
511,-38.89209999999999
512,-63.047800000000606
513,-62.6204000000005
514,-67.38960000000058
515,-100.45839999999997
516,-114.1638000000003
517,66.79260000000002
518,53.6778999999996
519,67.26550000000003
520,-49.478300000000324
521,67.3644
522,-68.8407000000007
523,48.59119999999943
524,86.87910000000002
525,84.63200000000003
526,-46.458500000000235
527,73.66030000000002
528,49.152199999999546
529,-55.43910000000037
530,70.0301
531,-74.66950000000031
532,-85.78600000000007
533,53.507599999999805
534,45.148199999999534
535,-49.09990000000029
536,69.89060000000005
537,-79.22050000000031
538,-55.59280000000045
539,-55.25920000000052
540,73.23840000000001
541,-92.51070000000054
542,-55.779000000000394
543,74.59970000000001
544,-64.45350000000055
545,76.66120000000002
546,64.71949999999995
547,83.79820000000005
548,-56.768900000000414
549,52.24239999999955
550,-64.51110000000034
551,-42.97410000000016
552,-60.358400000000515
553,73.70240000000004
554,87.81860000000002
555,-66.45290000000058
556,-89.64680000000047
557,68.50940000000003
558,-49.70810000000023
559,-59.89040000000029
560,77.52220000000001
561,-62.75370000000073
562,-93.83309999999982
563,-66.81570000000033
564,-41.966500000000096
565,58.87559999999982
566,73.50110000000002
567,47.270799999999475
568,-41.567900000000094
569,-44.308200000000305
570,52.33719999999972
571,69.29850000000002
572,-91.0487000000002
573,71.61470000000006
574,-63.03030000000055
575,-60.685000000000635
576,-48.05920000000022
577,-69.47540000000056
578,77.39760000000005
579,-71.74390000000055
580,-58.22320000000044
581,-89.64400000000013
582,61.41459999999984
583,41.41749999999957
584,58.90079999999977
585,-47.50350000000024
586,-57.32680000000044
587,-56.34080000000039
588,56.51529999999968
589,61.20789999999975
590,74.49570000000003
591,73.79820000000001
592,-68.41980000000041
593,-57.38760000000053
594,-50.097600000000334
595,-39.60180000000003
596,49.87729999999955
597,65.47789999999996
598,-47.904700000000176
599,-59.28060000000049
600,-62.49720000000063
601,-79.34000000000016
602,70.30830000000002
603,65.31749999999991
604,-60.05130000000053
605,-65.56400000000015
606,-70.42300000000064
607,-95.08320000000023
608,-45.501400000000146
609,75.82150000000001
610,52.183299999999626
611,-42.17900000000014
612,72.11120000000003
613,64.06869999999996
614,-62.1863000000005
615,53.41889999999968
616,86.84940000000003
617,-97.18310000000014
618,84.01260000000005
619,67.8186
620,70.52620000000006
621,-92.35550000000053
622,87.34850000000003
623,-53.257700000000256
624,-66.26400000000032
625,-56.47980000000037
626,74.12140000000002
627,67.26920000000001
628,74.79810000000008
629,-57.988500000000414
630,-38.82479999999998
631,63.532399999999946
632,73.91090000000003
633,-49.10810000000033
634,-101.04589999999983
635,82.73640000000005
636,-64.5241000000007
637,-79.48260000000033
638,74.13870000000003
639,-51.78280000000028
640,71.49720000000003
641,55.2470999999998
642,-71.05410000000059
643,87.42610000000003
644,57.400199999999714
645,57.91159999999976
646,-84.75050000000017
647,54.26649999999959
648,-46.51870000000032
649,77.83080000000002
650,-49.84850000000026
651,-58.517600000000286
652,67.00569999999999
653,-42.84090000000012
654,-44.2308000000001
655,57.315399999999784
656,-42.769400000000104
657,-47.07240000000003
658,71.4531
659,-73.05150000000056
660,-73.48380000000033
661,-43.71180000000019
662,50.9512999999996
663,-60.688600000000434
664,-41.478300000000075
665,-48.725200000000214
666,74.88010000000001
667,75.59420000000006
668,-57.46810000000055
669,-57.34860000000043
670,84.95820000000003
671,71.69800000000002
672,-60.07070000000049
673,75.64200000000001
674,-102.92529999999996
675,-67.55860000000062
676,35.67969999999957
677,73.00230000000006
678,-51.098900000000356
679,60.61969999999984
680,82.80900000000004
681,51.780399999999595
682,-50.61120000000031
683,-102.54280000000007
684,56.05239999999978
685,-54.91370000000034
686,-65.35480000000068
687,-77.58400000000042
688,-45.18150000000029
689,-41.798800000000064
690,-48.43020000000014
691,82.96020000000004
692,64.09859999999992
693,69.15840000000001
694,78.14150000000001
695,-53.78760000000013
696,73.67120000000003
697,-95.08409999999998
698,-57.31020000000046
699,-46.89220000000027
700,64.03889999999994
701,68.97210000000001
702,-72.75110000000062
703,52.36499999999958
704,79.80400000000003
705,-13.948599999999987
706,87.22910000000003
707,-100.50669999999991
708,-77.41320000000027
709,-78.42900000000037
710,-64.06260000000047
711,-92.28759999999998
712,-63.179000000000684
713,87.62960000000002
714,-99.60910000000042
715,-72.52260000000058
716,71.12060000000002
717,-50.94110000000026
718,-86.27500000000028
719,-45.20720000000024
720,-58.944000000000365
721,56.412499999999774
722,75.18010000000004
723,-77.16730000000035
724,-41.18860000000008
725,-56.39160000000034
726,-54.15180000000042
727,-55.57620000000038
728,67.60650000000001
729,75.31990000000002
730,62.57659999999986
731,40.27299999999936
732,76.86930000000004
733,-37.8591
734,-43.73110000000021
735,-106.28020000000002
736,-39.12700000000009
737,-74.21460000000037
738,-52.16780000000025
739,-56.274400000000426
740,24.32950000000004
741,-44.78930000000014
742,-89.47279999999995
743,69.14940000000001
744,55.26369999999974
745,-48.83710000000019
746,-80.8570000000004
747,65.00819999999993
748,-60.54270000000042
749,-65.13560000000058
750,77.17040000000001
751,63.61799999999987
752,-68.33730000000045
753,82.48700000000002
754,64.00989999999987
755,-62.561900000000534
756,-45.90860000000014
757,71.98110000000001
758,74.4564
759,-20.975999999999978
760,65.61769999999999
761,86.12950000000004
762,-47.83890000000022
763,-52.86080000000028
764,89.22010000000002
765,-39.762499999999996
766,-81.07600000000018
767,-65.91680000000062
768,-100.46879999999996
769,-40.266800000000046
770,-73.00240000000035
771,-50.470800000000466
772,-48.57440000000034
773,-73.77680000000045
774,-58.584800000000456
775,-25.945199999999986
776,69.17620000000002
777,-79.25910000000036
778,64.97389999999996
779,47.95889999999957
780,74.75300000000007
781,54.48489999999961
782,87.01110000000003
783,57.7182999999998
784,-54.44830000000046
785,-59.55900000000058
786,72.4882
787,-50.253700000000435
788,-77.29540000000033
789,-54.47220000000042
790,77.06390000000005
791,-61.60490000000031
792,-98.45940000000016
793,69.97830000000002
794,61.557199999999874
795,55.19339999999962
796,-40.605300000000064
797,76.86470000000003
798,85.73770000000003
799,54.465599999999654
800,-62.77070000000043
801,82.04100000000004
802,88.56130000000003
803,-67.63290000000062
804,-42.5356000000001
805,82.64020000000004
806,-50.12310000000028
807,-39.91860000000006
808,89.91140000000001
809,-40.5267000000001
810,73.88570000000003
811,78.05680000000001
812,-60.515500000000515
813,-42.27810000000022
814,66.34940000000006
815,58.74259999999975
816,-78.33550000000044
817,-76.27820000000038
818,-65.34860000000072
819,-66.44870000000031
820,-64.19720000000044
821,-47.66200000000023
822,48.79909999999952
823,52.544599999999726
824,-41.239100000000086
825,67.46900000000002
826,76.09160000000003
827,-96.2693000000001
828,-42.97660000000014
829,66.68739999999998
830,69.19600000000003
831,-75.29130000000036
832,-46.69320000000015
833,-59.778400000000666
834,52.67029999999968
835,-82.4973000000004
836,66.3118
837,51.58239999999963
838,88.31290000000001
839,75.29050000000001
840,-42.14990000000006
841,-55.367400000000444
842,39.30199999999935
843,81.01350000000002
844,66.17079999999996
845,69.67980000000003
846,64.8256999999999
847,-81.26690000000039
848,70.4779
849,-40.86130000000007
850,76.7205
851,83.27420000000005
852,-56.01130000000043
853,73.51140000000001
854,75.86440000000006
855,62.919099999999865
856,79.94130000000003
857,-73.88040000000046
858,75.16010000000001
859,76.74140000000003
860,-42.2795000000001
861,-47.15849999999992
862,56.21889999999982
863,72.15790000000001
864,57.782499999999665
865,64.32110000000004
866,-20.79890000000001
867,48.74849999999945
868,79.61120000000003
869,70.28560000000004
870,-76.37830000000031
871,79.45050000000003
872,73.03990000000002
873,-44.29190000000011
874,67.23770000000005
875,-73.99840000000015
876,41.907899999999586
877,-46.98920000000027
878,-51.983600000000344
879,74.72000000000001
880,-105.20849999999982
881,63.44159999999979
882,62.69039999999993
883,69.51930000000002
884,81.62950000000005
885,62.04749999999983
886,66.77510000000001
887,-36.4859
888,73.07920000000003
889,45.18199999999943
890,50.38899999999954
891,88.06860000000003
892,86.97140000000003
893,-86.80450000000022
894,71.74900000000001
895,71.73800000000001
896,-54.51030000000035
897,57.96819999999972
